matrix_size,cutoff,time
512,8,3.5595773333333334
512,12,2.754986666666667
512,16,3.5580166666666666
512,20,3.0209040000000003
512,24,3.558348
512,28,3.1856973333333336
512,32,2.5232763333333335
512,36,2.0101186666666666
512,40,3.3412770000000003
512,44,3.2442526666666667
512,48,3.3109086666666663
512,52,3.5484646666666664
512,56,3.1952133333333332
512,60,3.5329563333333334
512,64,2.83527
1024,8,27.076818
1024,12,23.832367333333334
1024,16,22.526154000000002
1024,20,24.340520333333334
1024,24,25.249650333333335
1024,28,23.300848000000002
1024,32,21.871074000000004
1024,36,22.723827
1024,40,27.964533
1024,44,24.239948333333334
1024,48,21.973940666666664
1024,52,22.032687999999997
1024,56,28.001574333333334
1024,60,26.784664666666668
1024,64,26.069878666666668
2048,8,168.46972966666667
2048,12,192.91173133333334
2048,16,125.95621799999999
2048,20,170.44522433333336
2048,24,193.385367
2048,28,195.20539666666664
2048,32,197.22326066666665
2048,36,198.068451
2048,40,132.898173
2048,44,136.349466
2048,48,179.53145099999998
2048,52,155.50535933333333
2048,56,168.06725
2048,60,151.82715233333332
2048,64,97.74484433333333
